Mnemonic:,FGDPL$Q.IGBR,FGDPL$Q.IESP,FGDPL$Q.IITA,FGDPL$Q.IDEU,FGDPL$Q.ICZE,FGDPL$Q.IRUS
Geography:,United Kingdom,Spain,Italy,Germany,Czech Republic,Russian Federation
1996Q1,1281.48,721.74,1431.26,2131.58,2750.68,45028.73
1996Q2,1285.56,726.33,1423.92,2162.02,2761.68,44828.10
1996Q3,1294.34,733.41,1426.49,2175.18,2774.58,44369.05
1996Q4,1306.66,736.34,1425.84,2187.31,2775.25,44470.63
1997Q1,1331.85,744.72,1429.60,2174.15,2771.17,44830.20
1997Q2,1343.62,751.53,1449.19,2204.86,2754.46,44456.83
1997Q3,1350.22,759.13,1457.87,2213.37,2737.36,45630.44
1997Q4,1364.22,770.09,1482.15,2229.11,2730.91,46078.55
1998Q1,1374.58,777.74,1472.14,2246.98,2736.71,44165.22
1998Q2,1387.05,783.63,1477.73,2239.75,2740.05,44018.95
1998Q3,1397.39,793.02,1479.99,2245.68,2740.14,41603.95
1998Q4,1410.98,801.35,1473.26,2245.17,2741.83,41871.99
1999Q1,1418.96,807.84,1481.79,2263.16,2739.71,43365.38
1999Q2,1419.84,820.02,1487.82,2268.07,2758.60,45405.68
1999Q3,1445.18,829.82,1500.49,2291.80,2786.45,46372.71
1999Q4,1465.04,839.59,1521.93,2320.44,2814.30,46930.14
2000Q1,1477.41,852.97,1539.27,2342.24,2849.14,49390.80
2000Q2,1486.44,863.44,1550.01,2365.98,2889.03,49780.70
2000Q3,1490.61,872.81,1558.51,2362.62,2927.17,50293.30
2000Q4,1493.09,882.44,1583.23,2364.43,2943.92,51038.64
2001Q1,1512.81,891.25,1588.66,2403.07,2967.49,51721.10
2001Q2,1524.71,898.33,1584.71,2405.13,2980.27,52264.45
2001Q3,1536.07,907.28,1578.21,2398.16,2991.75,53359.88
2001Q4,1542.92,913.71,1578.78,2401.00,3006.02,53332.46
2002Q1,1550.24,918.91,1577.69,2393.59,3009.50,53713.33
2002Q2,1560.47,925.82,1584.86,2399.78,3017.63,54518.82
2002Q3,1572.30,931.42,1588.81,2411.13,3041.93,55777.35
2002Q4,1586.40,938.41,1594.48,2405.97,3064.00,56585.39
2003Q1,1596.82,947.67,1590.06,2376.82,3097.90,57811.34
2003Q2,1611.94,954.11,1584.69,2377.33,3122.39,58833.44
2003Q3,1628.42,960.66,1587.14,2389.20,3157.72,59274.87
2003Q4,1641.58,970.52,1599.24,2397.97,3191.56,60934.76
2004Q1,1650.56,976.42,1606.64,2397.39,3227.21,62013.51
2004Q2,1656.89,983.99,1612.00,2405.65,3256.49,63532.19
2004Q3,1659.62,993.91,1613.94,2401.26,3310.96,63642.98
2004Q4,1663.80,1000.02,1616.04,2403.58,3373.42,64705.43
2005Q1,1679.58,1010.14,1612.17,2398.94,3429.82,66337.99
2005Q2,1698.20,1020.43,1628.05,2414.94,3483.80,67005.00
2005Q3,1718.07,1030.11,1638.81,2434.54,3534.27,67768.58
2005Q4,1743.81,1040.88,1642.80,2443.83,3589.84,68941.52
2006Q1,1748.46,1052.15,1649.15,2466.60,3671.06,71193.18
2006Q2,1752.35,1063.14,1659.02,2506.08,3736.32,72443.25
2006Q3,1753.48,1073.64,1664.80,2531.10,3782.13,73293.34
2006Q4,1759.66,1083.83,1685.84,2564.13,3834.83,75045.96
2007Q1,1777.17,1094.92,1688.48,2574.64,3899.20,76966.78
2007Q2,1789.99,1103.80,1687.02,2593.74,3931.64,78723.55
2007Q3,1805.15,1112.75,1686.84,2615.66,3990.53,79245.92
2007Q4,1820.17,1122.33,1684.80,2622.89,4042.52,81928.15
2008Q1,1826.65,1127.45,1702.21,2645.92,4051.98,84044.57
2008Q2,1813.13,1128.08,1686.11,2638.69,4085.64,84961.01
2008Q3,1783.27,1119.55,1663.01,2629.14,4097.57,84321.35
2008Q4,1744.55,1108.28,1624.91,2578.32,4027.73,80818.50
2009Q1,1715.54,1090.55,1580.43,2462.34,3887.45,76328.59
2009Q2,1712.29,1079.99,1568.05,2464.15,3856.72,75499.71
2009Q3,1714.73,1076.63,1576.62,2479.37,3875.75,77044.57
2009Q4,1720.66,1075.96,1582.37,2501.82,3884.15,78715.42
2010Q1,1728.42,1079.20,1588.88,2519.75,3913.12,79230.31
2010Q2,1743.27,1081.17,1597.83,2571.61,3952.75,80651.60
2010Q3,1753.35,1081.69,1606.45,2593.02,3973.37,80674.25
2010Q4,1755.63,1081.68,1617.99,2614.18,3994.43,80967.70
2011Q1,1768.79,1077.78,1621.19,2660.11,4024.07,81824.14
2011Q2,1771.40,1072.61,1622.94,2665.01,4032.07,82621.63
2011Q3,1776.17,1068.25,1613.53,2678.17,4025.79,84021.47
2011Q4,1779.12,1061.92,1599.39,2678.42,4033.65,85244.19
2012Q1,1790.64,1052.70,1585.14,2685.91,4029.16,86242.65
2012Q2,1789.68,1042.69,1570.39,2689.00,4007.56,86454.40
2012Q3,1810.99,1034.98,1562.94,2696.74,3986.35,86582.78
2012Q4,1806.85,1024.87,1554.39,2683.84,3975.16,86346.99
2013Q1,1818.53,1021.35,1538.55,2676.23,3956.61,87931.50
2013Q2,1828.50,1020.50,1538.49,2701.00,3962.66,87950.24
2013Q3,1844.90,1019.80,1544.53,2716.22,3975.34,87945.34
2013Q4,1853.53,1022.71,1541.62,2726.28,4026.02,88519.34
2014Q1,1869.06,1026.75,1543.26,2753.70,4019.91,88362.26
2014Q2,1884.62,1030.72,1541.67,2752.15,4057.84,89113.98
2014Q3,1897.83,1037.73,1545.32,2761.70,4110.62,88706.71
2014Q4,1910.46,1045.52,1544.75,2788.01,4164.44,88800.78
2015Q1,1918.94,1057.77,1547.86,2784.46,4231.16,87445.39
2015Q2,1929.86,1067.62,1553.88,2800.72,4293.14,86081.11
2015Q3,1938.21,1077.99,1558.22,2809.75,4339.62,86212.71
2015Q4,1952.61,1088.25,1564.42,2824.97,4369.12,86050.82
2016Q1,1958.94,1095.59,1568.03,2850.77,4381.89,86465.71
2016Q2,1962.01,1103.03,1571.75,2863.42,4396.81,85778.62
2016Q3,1971.26,1111.44,1576.96,2868.32,4413.13,85964.23
2016Q4,1985.88,1117.72,1584.32,2879.41,4447.93,86418.35
2017Q1,1994.33,1126.83,1592.76,2911.34,4511.22,86932.48
2017Q2,1999.54,1136.68,1598.27,2927.34,4615.03,87960.51
2017Q3,2009.89,1143.94,1604.12,2944.36,4642.47,87813.29
2017Q4,2017.95,1152.26,1610.79,2960.10,4672.44,87210.29
2018Q1,2020.11,1158.65,1614.32,2971.13,4700.94,88061.46
2018Q2,2028.53,1165.15,1615.41,2984.55,4725.32,89682.06
2018Q3,2041.16,1171.57,1613.10,2978.62,4759.66,89152.02
2018Q4,2044.70,1179.73,1611.29,2979.13,4804.56,89440.36
